Unnamed: 0,LSOA code,LSOA Area Size (HA),Burglary Count,Overall Ranking - IMD,Housing rank,Health rank,Living environment rank,Crime rank,Education rank,Income rank,Employment rank,ward name,ward code,LSOA name
,E01000002,22.83,110,4700.0,3646.0,4095.0,3347.0,4834.0,4828.0,4549.0,4559.0,Cripplegate,E05009302,City of London 001B
,E01004512,11.52,115,3621.0,3930.0,3053.0,1996.0,2499.0,3863.0,3745.0,3130.0,Wandsworth Town,E05014028,Wandsworth 019B
,E01000003,5.89,56,2562.0,986.0,1832.0,666.0,4766.0,3436.0,3364.0,2137.0,Cripplegate,E05009302,City of London 001C
,E01000005,18.96,389,1325.0,1005.0,1889.0,2346.0,4820.0,867.0,872.0,786.0,Portsoken,E05009308,City of London 001E
,E01001676,13.14,240,1370.0,1507.0,647.0,3430.0,2449.0,1159.0,1271.0,977.0,Plumstead Common,E05014088,Greenwich 033C
,E01000006,14.66,116,2485.0,496.0,2554.0,2690.0,3708.0,1770.0,2641.0,3273.0,Northbury,E05014066,Barking and Dagenham 016A
,E01000007,20.0,202,962.0,145.0,1611.0,2884.0,717.0,2385.0,922.0,1503.0,Northbury,E05014066,Barking and Dagenham 015A
,E01004514,16.38,267,4104.0,4497.0,2484.0,1619.0,3696.0,4111.0,4092.0,4119.0,Wandsworth Town,E05014028,Wandsworth 012C
,E01000008,19.36,166,423.0,474.0,932.0,2109.0,2140.0,612.0,308.0,520.0,Northbury,E05014066,Barking and Dagenham 015B
,E01000009,12.79,208,827.0,270.0,518.0,2405.0,600.0,1645.0,1235.0,1431.0,Northbury,E05014066,Barking and Dagenham 016B
,E01001675,15.53,256,1318.0,1645.0,1097.0,1965.0,971.0,1122.0,1082.0,1697.0,Plumstead & Glyndon,E05014087,Greenwich 006D
,E01000011,9.17,106,1079.0,79.0,1934.0,719.0,1561.0,841.0,1582.0,2332.0,Northbury,E05014066,Barking and Dagenham 016C
,E01000012,14.04,137,639.0,34.0,1699.0,1047.0,1504.0,1111.0,555.0,1810.0,Northbury,E05014066,Barking and Dagenham 015D
,E01001674,21.43,180,2180.0,2350.0,3466.0,1666.0,1688.0,1394.0,1850.0,2031.0,Plumstead & Glyndon,E05014087,Greenwich 006C
,E01002082,19.25,89,1.0,332.0,134.0,3083.0,218.0,159.0,1.0,2.0,West Green,E05013603,Haringey 013A
,E01000013,20.78,260,326.0,488.0,211.0,2073.0,220.0,707.0,859.0,629.0,Parsloes,E05014067,Barking and Dagenham 013A
,E01001673,17.45,218,546.0,1237.0,273.0,3494.0,236.0,1314.0,438.0,970.0,Plumstead & Glyndon,E05014087,Greenwich 006B
,E01000014,34.12,168,561.0,422.0,715.0,3024.0,764.0,269.0,1018.0,811.0,Parsloes,E05014067,Barking and Dagenham 013B
